code,description,fee
27405,Repair of knee ligament,640.47
27407,Repair of knee ligament,751.91
27409,Repair of knee ligaments,900.62
27412,Autochondrocyte implant knee,1502.15
27415,Osteochondral knee allograft,1264.82
27416,Osteochondral knee autograft,906.99
27418,Repair degenerated kneecap,767.02
27420,Revision of unstable kneecap,708.61
27422,Revision of unstable kneecap,702.23
27424,Revision/removal of kneecap,707.6
27425,Lat retinacular release open,445.11
27427,Reconstruction knee,665.98
27428,Reconstruction knee,1045.63
27429,Reconstruction knee,1177.88
27430,Revision of thigh muscles,702.57
27435,Incision of knee joint,764.33
27437,Revise kneecap,628.05
27438,Revise kneecap with implant,785.82
27440,Revision of knee joint,749.56
27441,Revision of knee joint,772.39
27442,Revision of knee joint,808.98
27443,Revision of knee joint,765.67
27446,Revision of knee joint,1052.68
27447,Total knee arthroplasty,1165.13
27448,Incision of thigh,766.35
27450,Incision of thigh,933.18
27454,Realignment of thigh bone,1187.28
27455,Realignment of knee,897.26
27457,Realignment of knee,884.5
27458,Osteot femur imed lngth dev,1740.14
27465,Shortening of thigh bone,1300.07
27466,Lengthening of thigh bone,1376.27
27470,Repair of thigh,1090.61
27472,Repair/graft of thigh,1161.77
27475,Surgery to stop leg growth,630.4
27477,Surgery to stop leg growth,690.82
27479,Surgery to stop leg growth,853.62
27485,Surgery to stop leg growth,636.44
27486,Revise/replace knee joint,1281.27
27487,Revise/replace knee joint,1582.37
27488,Removal of knee prosthesis,1105.38
27495,Reinforce thigh,1040.93
27496,Decompression of thigh/knee,533.72
27497,Decompression of thigh/knee,554.54
27498,Decompression of thigh/knee,628.05
27499,Decompression of thigh/knee,666.99
27500,Treatment of thigh fracture,577.36
27501,Treatment of thigh fracture,553.19
27502,Treatment of thigh fracture,756.28
27503,Treatment of thigh fracture,754.26
27506,Treatment of thigh fracture,1229.24
27507,Treatment of thigh fracture,887.86
27508,Treatment of thigh fracture,584.41
27509,Treatment of thigh fracture,655.91
27510,Treatment of thigh fracture,676.05
27511,Treatment of thigh fracture,905.32
27513,Treatment of thigh fracture,1112.43
27514,Treatment of thigh fracture,879.47
27516,Treat thigh fx growth plate,576.02
27517,Treat thigh fx growth plate,656.92
27519,Treat thigh fx growth plate,815.02
27520,Treat kneecap fracture,371.59
27524,Treat kneecap fracture,708.61
27530,Treat knee fracture,350.78
27532,Treat knee fracture,682.43
27535,Treat knee fracture,819.38
27536,Treat knee fracture,1096.31
27538,Treat knee fracture(s),541.44
27540,Treat knee fracture,766.35
27550,Treat knee dislocation,621.33
27552,Treat knee dislocation,609.25
27556,Treat knee dislocation,802.6
27557,Treat knee dislocation,947.95
27558,Treat knee dislocation,1072.82
27560,Treat kneecap dislocation,468.94
27562,Treat kneecap dislocation,478.67
27566,Treat kneecap dislocation,830.8
27570,Fixation of knee joint,150.72
27580,Fusion of knee,1361.5
27590,Amputate leg at thigh,724.72
27591,Amputate leg at thigh,893.57
27592,Amputate leg at thigh,631.4
27594,Amputation follow-up surgery,480.35
27596,Amputation follow-up surgery,663.29
27598,Amputate lower leg at knee,648.52
27600,Decompression of lower leg,377.63
27601,Decompression of lower leg,420.27
27602,Decompression of lower leg,446.11
27603,Drain lower leg lesion,547.49
27604,Drain lower leg bursa,480.02
27605,Incision of achilles tendon,338.7
27606,Incision of achilles tendon,256.12
27607,Treat lower leg bone lesion,569.98
27610,Explore/treat ankle joint,612.61
27612,Exploration of ankle joint,544.13
27613,Biopsy lower leg soft tissue,262.16
27614,Biopsy lower leg soft tissue,613.28
27615,Resect leg/ankle tum < 5 cm,947.61
27616,Resect leg/ankle tum 5 cm/>,1164.46
27618,Exc leg/ankle tum < 3 cm,520.97
27619,Exc leg/ankle tum deep <5 cm,438.39
27620,Explore/treat ankle joint,437.72
27625,Remove ankle joint lining,550.84
27626,Remove ankle joint lining,566.96
27630,Removal of tendon lesion,569.98
27632,Exc leg/ankle les sc 3 cm/>,395.09
27634,Exc leg/ankle tum dep 5 cm/>,626.37
27635,Remove lower leg bone lesion,548.49
27637,Remove/graft leg bone lesion,711.3
27638,Remove/graft leg bone lesion,702.23
27640,Partial removal of tibia,772.39
27641,Partial removal of fibula,612.94
27645,Resect tibia tumor,1597.14
27646,Resect fibula tumor,1396.74
27647,Resect talus/calcaneus tum,911.69
27648,Injection for ankle x-ray,207.78
27650,Repair achilles tendon,627.38
27652,Repair/graft achilles tendon,619.66
27654,Repair of achilles tendon,679.41
27656,Repair leg fascia defect,534.39
27658,Repair of leg tendon each,358.84
27659,Repair of leg tendon each,448.8
27664,Repair of leg tendon each,345.75
27665,Repair of leg tendon each,401.47
27675,Repair lower leg tendons,471.62
27676,Repair lower leg tendons,577.03
27680,Release of lower leg tendon,410.53
27681,Release of lower leg tendons,492.1
27685,Revision of lower leg tendon,685.11
27686,Revise lower leg tendons,505.53
27687,Revision of calf tendon,436.38
27690,Revise lower leg tendon,611.26
27691,Revise lower leg tendon,705.92
27692,Revise additional leg tendon,89.96
27695,Repair of ankle ligament,467.93
27696,Repair of ankle ligaments,512.91
27698,Repair of ankle ligament,599.85
27700,Revision of ankle joint,672.69
27702,Reconstruct ankle joint,889.54
27703,Reconstruction ankle joint,1022.8
27704,Removal of ankle implant,532.04
27705,Osteotomy tibia,696.19
27707,Osteotomy fibula,394.42
27709,Osteotomy tibia & fibula,1056.37
27712,Osteot mlt relignmt imed rod,1021.79
27713,Osteot tibia imed lngth dev,1762.63
27715,Ostpl tibfib lngth/shrt,1368.88
27720,Repair of tibia,815.35
27722,Repair/graft of tibia,837.51
27724,Repair/graft of tibia,1140.29
27725,Repair of lower leg,1129.21
27726,Repair fibula nonunion,879.47
27727,Repair of lower leg,962.72
27730,Repair of tibia epiphysis,563.93
27732,Repair of fibula epiphysis,444.1
27734,Repair lower leg epiphyses,625.36
27740,Repair of leg epiphyses,670.68
27742,Repair of leg epiphyses,734.12
27745,Reinforce tibia,682.09
27750,Treatment of tibia fracture,397.44
27752,Treatment of tibia fracture,611.26
27756,Treatment of tibia fracture,567.29
27758,Treatment of tibia fracture,837.51
27759,Treatment of tibia fracture,922.77
27760,Cltx medial ankle fx,378.31
27762,Cltx med ankle fx w/mnpj,592.13
27766,Optx medial ankle fx,582.73
27767,Cltx post ankle fx,323.26
27768,Cltx post ankle fx w/mnpj,444.43
27769,Optx post ankle fx,679.07
27780,Treatment of fibula fracture,355.14
27781,Treatment of fibula fracture,493.11
27784,Treatment of fibula fracture,676.39
27786,Treatment of ankle fracture,351.79
27788,Treatment of ankle fracture,501.16
27792,Treatment of ankle fracture,610.93
27808,Treatment of ankle fracture,384.35
27810,Treatment of ankle fracture,564.94
27814,Treatment of ankle fracture,718.01
27816,Treatment of ankle fracture,384.01
27818,Treatment of ankle fracture,587.77
27822,Treatment of ankle fracture,830.46
27823,Treatment of ankle fracture,927.81
27824,Treat lower leg fracture,358.5
27825,Treat lower leg fracture,607.24
27826,Treat lower leg fracture,817.03
27827,Treat lower leg fracture,1058.38
27828,Treat lower leg fracture,1236.29
27829,Treat lower leg joint,676.39
27830,Treat lower leg dislocation,437.38
27831,Treat lower leg dislocation,404.82
27832,Treat lower leg dislocation,720.36
27840,Treat ankle dislocation,455.18
27842,Treat ankle dislocation,493.44
27846,Treat ankle dislocation,678.4
27848,Treat ankle dislocation,741.51
27860,Fixation of ankle joint,155.42
27870,Fusion of ankle joint open,932.51
27871,Fusion of tibiofibular joint,650.2
27880,Amputation of lower leg,826.77
27881,Amputation of lower leg,762.65
27882,Amputation of lower leg,555.21
27884,Amputation follow-up surgery,550.51
27886,Amputation follow-up surgery,604.89
27888,Amputation of foot at ankle,535.74
27889,Ankle disarticulation,600.52
27892,Decompression of leg,520.63
27893,Decompression of leg,590.45
27894,Decompression of leg,760.98
28001,Drainage of bursa of foot,168.17
28002,Treatment of foot infection,243.36
28003,Treatment of foot infection,375.28
28005,Treat foot bone lesion,537.42
28008,Incision of foot fascia,424.29
28010,Incision of toe tendon,236.65
28011,Incision of toe tendons,322.25
28020,Exploration of foot joint,566.62
28022,Exploration of foot joint,500.16
28024,Exploration of toe joint,475.65
28035,Decompression of tibia nerve,548.16
28039,Exc foot/toe tum sc 1.5 cm/>,479.01
28041,Exc foot/toe tum dep 1.5cm/>,423.29
28043,Exc foot/toe tum sc < 1.5 cm,384.01
28045,Exc foot/toe tum deep <1.5cm,487.4
28046,Resect foot/toe tumor < 3 cm,664.97
28047,Resect foot/toe tumor 3 cm/>,962.04
28050,Biopsy of foot joint lining,409.19
28052,Biopsy of foot joint lining,383.01
28054,Biopsy of toe joint lining,359.51
28055,Neurectomy foot,373.61
28060,Partial removal foot fascia,527.68
28062,Removal of foot fascia,590.12
28070,Removal of foot joint lining,520.97
28072,Removal of foot joint lining,504.86
28080,Removal of foot lesion,550.17
28086,Excise foot tendon sheath,543.12
28088,Excise foot tendon sheath,484.04
28090,Removal of foot lesion,471.62
28092,Removal of toe lesions,424.63
28100,Removal of ankle/heel lesion,648.52
28102,Remove/graft foot lesion,586.09
28103,Remove/graft foot lesion,363.54
28104,Removal of foot lesion,543.46
28106,Remove/graft foot lesion,398.78
28107,Remove/graft foot lesion,500.16
28108,Removal of toe lesions,433.36
28110,Part removal of metatarsal,469.61
28111,Part removal of metatarsal,475.32
28112,Part removal of metatarsal,484.38
28113,Part removal of metatarsal,587.43
28114,Removal of metatarsal heads,1118.8
28116,Revision of foot,674.37
28118,Removal of heel bone,635.1
28119,Removal of heel spur,533.05
28120,Part removal of ankle/heel,690.15
28122,Partial removal of foot bone,602.2
28124,Partial removal of toe,476.66
28126,Partial removal of toe,389.05
28130,Removal of ankle bone,601.87
28140,Removal of metatarsal,564.61
28150,Removal of toe,416.24
28153,Partial removal of toe,400.46
28160,Partial removal of toe,408.85
28171,Resect tarsal tumor,1017.43
28173,Resect metatarsal tumor,669.0
28175,Resect phalanx of toe tumor,439.06
28190,Removal of foot foreign body,240.68
28192,Removal of foot foreign body,459.2
28193,Removal of foot foreign body,513.58
28200,Repair of foot tendon,506.87
28202,Repair/graft of foot tendon,611.6
28208,Repair of foot tendon,500.83
28210,Repair/graft of foot tendon,600.86
28220,Release of foot tendon,448.8
28222,Release of foot tendons,546.14
28225,Release of foot tendon,412.54
28226,Release of foot tendons,668.66
28230,Incision of foot tendon(s),432.69
28232,Incision of toe tendon,375.96
28234,Incision of foot tendon,413.89
28238,Revision of foot tendon,688.81
28240,Release of big toe,442.42
28250,Revision of foot fascia,602.2
28260,Release of midfoot joint,761.98
28261,Revision of foot tendon,1129.21
28262,Revision of foot and ankle,1487.71
28264,Release of midfoot joint,964.39
28270,Release of foot contracture,491.09
28272,Release of toe joint each,378.98
28280,Fusion of toes,500.49
28285,Repair of hammertoe,551.18
28286,Repair of hammertoe,432.35
28288,Partial removal of foot bone,613.61
28289,Corrj halux rigdus w/o implt,706.26
28291,Corrj halux rigdus w/implt,673.7
28292,Cor hlx vlgs rsc prx phlx bs,706.6
28295,Cor hlx vlgs prx mtar osteot,1070.47
28296,Cor hlx vlgs dstl mtar osteo,887.86
28297,Cor hlx vlgs jt arthrd,1035.89
28298,Cor hlx vlgs prx phlx osteot,864.7
28299,Cor hlx vlgs double osteot,1041.6
28300,Incision of heel bone,614.29
28302,Incision of ankle bone,677.39
28304,Incision of midfoot bones,876.11
28305,Incise/graft midfoot bones,628.38
28306,Incision of metatarsal,631.4
28307,Incision of metatarsal,848.92
28308,Incision of metatarsal,588.44
28309,Incision of metatarsals,839.86
28310,Revision of big toe,567.96
28312,Revision of toe,598.84
28313,Repair deformity of toe,548.49
28315,Removal of sesamoid bone,483.71
28320,Repair of foot bones,580.72
28322,Repair of metatarsals,818.04
28340,Resect enlarged toe tissue,559.91
28341,Resect enlarged toe,651.21
28344,Repair extra toe(s),412.21
28345,Repair webbed toe(s),505.19
28360,Reconstruct cleft foot,1030.19
28400,Cltx calcaneal fx w/o mnpj,272.57
28405,Cltx calcaneal fx w/mnpj,504.52
28406,Prq skel fix clcnl fx w/mnpj,552.19
28415,Optx calcaneal fracture,1054.02
28420,Optx calcaneal fx w/bone grf,1214.81
28430,Cltx talus fracture w/o mnpj,267.2
28435,Cltx talus fracture w/mnpj,415.9
28436,Prq skel fix talus fx w/mnpj,499.48
28445,Optx talus fracture,981.18
28446,Opn osteochondrl agrft talus,1131.22
28450,Tx tarsal b1 fx w/o mnpj ea,232.62
28455,Tx tarsal b1 fx w/mnpj each,261.49
28456,Prq skel fix tarsl fx w/mnpj,385.35
28465,Optx tarsal bone fx each,622.68
28470,Cltx metatarsal fx wo mnp ea,238.33
28475,Cltx metatarsal fx w/mnpj ea,277.27
28476,Prq skel fix metar fx w/mnpj,389.72
28485,Optx metatarsal fx each,544.8
28490,Treat big toe fracture,159.45
28495,Treat big toe fracture,196.71
28496,Treat big toe fracture,551.18
28505,Treat big toe fracture,671.69
28510,Treatment of toe fracture,131.58
28515,Treatment of toe fracture,175.22
28525,Treat toe fracture,576.35
28530,Treat sesamoid bone fracture,124.2
28531,Treat sesamoid bone fracture,324.93
28540,Treat foot dislocation,200.06
28545,Treat foot dislocation,349.1
28546,Treat foot dislocation,640.8
28555,Repair foot dislocation,888.53
28570,Treat foot dislocation,268.54
28575,Treat foot dislocation,424.63
28576,Treat foot dislocation,388.38
28585,Repair foot dislocation,953.65
28600,Treat foot dislocation,191.33
28605,Treat foot dislocation,385.69
28606,Treat foot dislocation,389.05
28615,Repair foot dislocation,797.23
28630,Treat toe dislocation,172.54
28635,Treat toe dislocation,175.56
28636,Treat toe dislocation,390.05
28645,Repair toe dislocation,669.67
28660,Treat toe dislocation,150.05
28665,Treat toe dislocation,155.75
28666,Treat toe dislocation,164.82
28675,Repair of toe dislocation,590.79
28705,Arthrodesis pantalar,1112.09
28715,Arthrodesis triple,888.2
28725,Arthrodesis subtalar,732.78
28730,Fusion of foot bones,681.76
28735,Fusion of foot bones,732.11
28737,Revision of foot bones,635.1
28740,Fusion of foot bones,852.61
28750,Fusion of big toe joint,1045.29
28755,Fusion of big toe joint,922.77
28760,Fusion of big toe joint,787.83
28800,Amputation of midfoot,493.78
28805,Amputation thru metatarsal,652.55
28810,Amputation toe & metatarsal,398.78
28820,Amputation of toe,298.75
28825,Partial amputation of toe,291.37
28890,Hi enrgy eswt plantar fascia,305.46
29000,Appl halo type body cast,467.26
29010,Appl risser jacket body only,318.89
29015,Appl rissr jacket bdy w/head,339.37
29035,Appl body cast sho to hips,301.44
29040,Appl bdy cst sho to hip head,341.05
29044,Appl bdy cst sho to hip 1thi,335.68
29046,Appl bdy cst sho to hip b th,365.89
29049,Appl cast figure-of-eight,114.47
29055,Appl cast shoulder spica,259.48
29058,Appl cast plaster velpeau,138.97
29065,Appl cst sho to hand lng arm,108.76
29075,Appl cst elbw fngr short arm,98.02
29085,Appl cast hand&lwr forearm,107.42
29086,Application cast finger,82.91
29105,Application long arm splint,97.68
29125,Appl short arm splint static,79.55
29126,Appl short arm splint dyn,85.93
29130,Appl finger splint static,46.32
29131,Appl finger splint dynamic,59.75
29200,Strapping thorax,31.55
29240,Strapping of shoulder,28.87
29260,Strapping of elbow or wrist,28.87
29280,Strapping of hand or finger,30.21
29305,Appl hip spica cast 1 leg,286.0
29325,Appl hip spica cast1&1/2,314.86
29345,Application of long leg cast,149.71
29355,Appl long leg cast walker,155.42
29358,Appl long leg cast brace,183.95
29365,Appl cylinder cast,139.64
29405,Appl short leg cast,88.28
29425,Appl short leg cast walking,81.23
29435,Appl patllr tdn bearing cast,139.98
29440,Adding walker to prev cast,44.31
29445,Appl rigid tot cntc leg cast,132.93
29450,Application clubfoot cast,146.35
29505,Application long leg splint,110.1
29515,Application short leg splint,82.91
29520,Strapping of hip,34.91
29530,Strapping of knee,28.87
29540,Strapping ankle &/foot,28.2
29550,Strapping of toes,19.47
29580,Strapping unna boot,63.44
29581,Appl multlayer cmprn sys leg,83.92
29584,Appl mltlay cmprn sys up arm,74.86
29700,Rmvl/bivlv gauntlet boot/cst,69.48
29705,Rmvl/bivlv full arm/leg cast,69.82
29710,Rmvl/bivlv sho/hip spica,137.29
29720,Repair spica body cst/jacket,98.69
29730,Windowing of cast,67.47
29740,Wedging of cast,110.1
29750,Wedging of clubfoot cast,118.49
29800,Jaw arthroscopy/surgery,511.23
29804,Jaw arthroscopy/surgery,544.46
29805,Sho arthrs dx +- synovial bx,451.15
29806,Sho arthrs srg capsulorraphy,977.82
29807,Sho arthrs srg rpr slap les,956.67
29819,Sho arthrs srg rmvl loose/fb,552.86
29820,Sho arthrs srg prtl synvct,504.18
29821,Sho arthrs srg compl synvct,560.24
29822,Sho arthrs srg lmtd dbrdmt,518.62
29823,Sho arthrs srg xtnsv dbrdmt,561.58
29824,Sho arthrs srg dstl claviclc,642.15
29825,Sho arthrs srg lss&rescj ads,556.21
29826,Sho arthrs srg decompression,148.37
29827,Sho arthrs srg rt8tr cuf rpr,981.18
29828,Sho arthrs srg bicp tenodsis,847.92
29830,Elbow arthroscopy,441.41
29834,Elbow arthroscopy/surgery,470.95
29835,Elbow arthroscopy/surgery,489.41
29836,Elbow arthroscopy/surgery,550.84
29837,Elbow arthroscopy/surgery,509.22
29838,Elbow arthroscopy/surgery,561.25
29840,Wrist arthroscopy,443.43
29843,Wrist arthroscopy/surgery,471.96
29844,Wrist arthroscopy/surgery,473.3
29845,Wrist arthroscopy/surgery,549.5
29846,Wrist arthroscopy/surgery,490.42
29847,Wrist arthroscopy/surgery,519.62
29848,Wrist endoscopy/surgery,488.07
29850,Knee arthroscopy/surgery,596.49
29851,Knee arthroscopy/surgery,866.04
29855,Tibial arthroscopy/surgery,733.45
29856,Tibial arthroscopy/surgery,922.43
29860,Hip arthroscopy dx,618.31
29861,Hip arthro w/fb removal,660.61
29862,Hip arthr0 w/debridement,763.66
29863,Hip arthr0 w/synovectomy,760.98
29866,Autgrft implnt knee w/scope,984.2
29867,Allgrft implnt knee w/scope,1184.6
29868,Meniscal trnspl knee w/scpe,1519.94
29870,Arthrs knee dx w/wo syn bx,605.89
29871,Arthrs knee surg for infctj,493.78
29873,Arthrs knee surg w/lat rls,523.65
29874,Arthrs knee surg rmv loos/fb,508.55
29875,Arthrs knee surg synvct lmtd,476.66
29876,Arthrs knee surg synvct maj,617.98
29877,Arthrs knee surg dbrdmt/shvg,589.78
29879,Arthrs kne srg abrasj arthrp,626.37
29880,Arthrs kne srg mnisectmy m&l,535.74
29881,Arthrs kne srg mnisectmy m/l,518.28
29882,Arthrs kne srg mnisc rpr m/l,645.17
29883,Arthrs kne srg mnisc rpr m&l,789.84
29884,Arthrs knee surg lysis ads,589.11
29885,Arthrs kne srg drlg ost diss,715.99
29886,Arthrs knee surg drlg od les,607.91
29887,Arthrs knee srg drlg od fixj,713.98
29888,Arthrs aid acl rpr/agmntj,893.9
29889,Arthrs aid pcl rpr/agmntj,1137.94
29891,Arthr ank ostchn df tal&/tib,637.11
29892,Arthrs aid rpr od les/tib fx,600.52
29893,Endoscopic plantr fasciotomy,668.66
29894,Ankle arthroscopy/surgery,477.33
29895,Ankle arthroscopy/surgery,435.71
29897,Ankle arthroscopy/surgery,467.26
29898,Ankle arthroscopy/surgery,526.34
29899,Ankle arthroscopy/surgery,925.79
29900,Mcp joint arthroscopy dx,496.46
29901,Mcp joint arthroscopy surg,526.34
29902,Mcp joint arthroscopy surg,555.21
29904,Subtalar arthro w/fb rmvl,605.22
29905,Subtalar arthro w/exc,480.02
29906,Subtalar arthro w/deb,629.05
29907,Subtalar arthro w/fusion,824.08
29914,Hip arthro w/femoroplasty,919.75
29915,Hip arthro acetabuloplasty,936.87
29916,Hip arthro w/labral repair,935.19
30000,Drainage of nose lesion,262.83
30020,Drainage of nose lesion,268.54
30100,Intranasal biopsy,141.99
30110,Removal of nose polyp(s),248.06
30115,Removal of nose polyp(s),435.71
30117,Removal of intranasal lesion,956.34
30118,Removal of intranasal lesion,639.46
30120,Revision of nose,521.3
30124,Removal of nose lesion,280.96
30125,Removal of nose lesion,593.81
30130,Excise inferior turbinate,395.09
30140,Resect inferior turbinate,295.39
30150,Rhinectomy partial,721.03
30160,Rhinectomy total,731.77
30200,Injection treatment of nose,112.12
30210,Nasal sinus therapy,156.42
30220,Insert nasal septal button,300.76
30300,Remove nasal foreign body,213.82
30310,Remove nasal foreign body,191.33
30320,Remove nasal foreign body,455.51
30460,Revision of nose,771.38
30462,Revision of nose,1468.91
30465,Repair nasal stenosis,927.47
30468,Rpr nsl vlv collapse w/implt,2406.12
30469,Rpr nsl vlv collapse w/rmdlg,2334.28
30520,Repair of nasal septum,616.3
30540,Rpr choanal atresia ntranasl,676.05
30545,Rpr choanal atresia trsnpltn,906.66
30560,Lysis intranasal synechia,316.88
30580,Repair upper jaw fistula,628.72
30600,Repair mouth/nose fistula,609.25
30620,Intranasal reconstruction,620.66
30630,Repair nasal septum defect,610.93
30801,Ablate inf turbinate superf,219.87
30802,Ablate inf turbinate submuc,279.95
30901,Control of nosebleed,166.49
30903,Control of nosebleed,267.2
30905,Control of nosebleed,397.44
30906,Repeat control of nosebleed,409.19
30915,Ligation nasal sinus artery,543.46
30920,Ligation upper jaw artery,779.77
30930,Ther fx nasal inf turbinate,109.43
31000,Irrigation maxillary sinus,188.99
31002,Irrigation sphenoid sinus,168.17
31020,Exploration maxillary sinus,434.03
31030,Exploration maxillary sinus,655.57
31032,Explore sinus remove polyps,554.54
31040,Exploration behind upper jaw,725.39
31050,Exploration sphenoid sinus,479.34
31051,Sphenoid sinus surgery,638.45
31070,Exploration of frontal sinus,445.11
31075,Exploration of frontal sinus,753.25
31080,Removal of frontal sinus,987.56
31081,Removal of frontal sinus,1054.02
31084,Removal of frontal sinus,1088.59
31085,Removal of frontal sinus,1119.48
31086,Removal of frontal sinus,1061.74
31087,Removal of frontal sinus,1005.68
31090,Exploration of sinuses,1016.42
31200,Removal of ethmoid sinus,587.1
31201,Removal of ethmoid sinus,712.97
31205,Removal of ethmoid sinus,845.23
31225,Removal of upper jaw,1585.39
31230,Removal of upper jaw,1753.23
31231,Nasal endoscopy dx,194.36
31233,Nsl/sins ndsc dx max sinusc,273.91
31235,Nsl/sins ndsc dx sphn sinusc,311.84
31237,Nsl/sins ndsc surg bx polypc,267.87
31238,Nsl/sins ndsc srg nsl hemrrg,261.49
31239,Nsl/sinus endoscopy surg dcr,527.35
31240,Nsl/sns ndsc cnch bull rescj,137.29
31241,Nsl/sns ndsc lig sphnptn art,374.95
31242,Nsl/sinus ndsc rf abltj pnn,2407.46
31243,Nsl/sinus ndsc cryoabltj pnn,2337.64
31253,Nsl/sins ndsc total,422.28
31254,Nsl/sins ndsc w/prtl ethmdct,438.73
31255,Nsl/sins ndsc w/tot ethmdct,274.58
31256,Exploration maxillary sinus,153.4
31257,Nsl/sins ndsc tot w/sphendt,376.96
31259,Nsl/sins ndsc sphn tiss rmvl,399.12
31267,Endoscopy maxillary sinus,225.24
31276,Nsl/sins ndsc frnt tiss rmvl,319.56
31287,Nasal/sinus endoscopy surg,171.19
31288,Nasal/sinus endoscopy surg,199.06
31290,Nasal/sinus endoscopy surg,997.29
31291,Nasal/sinus endoscopy surg,1082.22
31292,Nsl/sins ndsc med/inf dcmprn,858.66
31293,Nsl/sins ndsc med&inf dcmprn,927.81
31294,Nsl/sins ndsc surg on dcmprn,1057.38
31295,Nsl/sins ndsc surg max sins,1585.39
31296,Nsl/sins ndsc surg frnt sins,1611.24
31297,Nsl/sins ndsc surg sphn sins,1572.3
31298,Nsl/sins ndsc surg frnt&sphn,2980.46
31300,Removal of larynx lesion,1127.2
31360,Removal of larynx,1814.66
31365,Removal of larynx,2227.2
31367,Partial removal of larynx,1931.47
31368,Partial removal of larynx,2129.19
31370,Partial removal of larynx,1821.71
31375,Partial removal of larynx,1734.77
31380,Partial removal of larynx,1711.94
31382,Partial removal of larynx,1867.36
31390,Removal of larynx & pharynx,2443.04
31395,Reconstruct larynx & pharynx,2566.91
31400,Revision of larynx,938.55
31420,Epiglottidectomy,745.2
31500,Insert emergency airway,133.6
31502,Change of windpipe airway,30.55
31505,Diagnostic laryngoscopy,88.95
31510,Laryngoscopy with biopsy,216.17
31511,Remove foreign body larynx,211.81
31512,Removal of larynx lesion,217.85
31513,Injection into vocal cord,114.13
31515,Laryngoscopy for aspiration,230.61
31520,Dx laryngoscopy newborn,135.61
31525,Dx laryngoscopy excl nb,252.43
31526,Dx laryngoscopy w/oper scope,135.95
31527,Laryngoscopy for treatment,167.5
31528,Laryngoscopy and dilation,125.54
31529,Laryngoscopy and dilation,138.63
31530,Laryngoscopy w/fb removal,173.88
31531,Laryngoscopy w/fb & op scope,182.61
31535,Laryngoscopy w/biopsy,162.8
31536,Laryngoscopy w/bx & op scope,179.92
31540,Laryngoscopy w/exc of tumor,206.44
31541,Larynscop w/tumr exc + scope,224.57
31545,Remove vc lesion w/scope,307.14
31546,Remove vc lesion scope/graft,462.9
31551,Laryngoplasty laryngeal sten,1378.28
31552,Laryngoplasty laryngeal sten,1334.31
31553,Laryngoplasty laryngeal sten,1507.18
31554,Laryngoplasty laryngeal sten,1507.85
31560,Laryngoscop w/arytenoidectom,265.18
31561,Larynscop remve cart + scop,289.35
31570,Laryngoscope w/vc inj,346.08
31571,Laryngoscop w/vc inj + scope,212.48
31572,Largsc w/laser dstrj les,514.25
31573,Largsc w/ther injection,288.68
31574,Largsc w/njx augmentation,906.32
31575,Diagnostic laryngoscopy,127.89
31576,Laryngoscopy with biopsy,269.88
31577,Largsc w/rmvl foreign bdy(s),280.29
31578,Largsc w/removal lesion,305.8
31579,Laryngoscopy telescopic,196.03
31580,Laryngoplasty laryngeal web,1171.51
31584,Laryngoplasty fx rdctj fixj,1272.88
31587,Laryngoplasty cricoid split,1095.98
31590,Reinnervate larynx,886.52
31591,Laryngoplasty medialization,1004.68
31592,Cricotracheal resection,1538.73
31600,Planned tracheostomy,274.58
31601,Planned tracheostomy<2 yrs,381.33
31603,Emer tracheostomy ttrach,279.95
31605,Emer tracheostomy cthyr mem,304.12
31610,Tracheostomy fenest skin flp,865.03
31611,Constj trachesophgl fstl,493.44
31612,Perq trchl pnxr ttrach aspir,95.33
31613,Tracheostoma revj simple,398.11
31614,Tracheostoma revj complex,645.5
31615,Trcheobrnchsc est trachs inc,173.88
31622,Dx bronchoscope/wash,283.65
31623,Dx bronchoscope/brush,304.46
31624,Dx bronchoscope/lavage,287.67
31625,Bronchoscopy w/biopsy(s),386.03
31626,Bronchoscopy w/markers,873.76
31627,Navigational bronchoscopy,1161.1
31628,Bronchoscopy/lung bx each,410.53
31629,Bronchoscopy/needle bx each,499.48
31630,Bronchoscopy dilate/fx repr,177.57
31631,Bronchoscopy dilate w/stent,200.73
31632,Bronchoscopy/lung bx addl,69.15
31633,Bronchoscopy/needle bx addl,86.6
31634,Bronch w/balloon occlusion,1614.26
31635,Bronchoscopy w/fb removal,325.6
31636,Bronchoscopy bronch stents,196.37
31637,Bronchoscopy stent add-on,67.47
31638,Bronchoscopy revise stent,220.2
31640,Bronchoscopy w/tumor excise,219.2
31641,Bronchoscopy treat blockage,225.57
31643,Diag bronchoscope/catheter,153.07
31645,Brnchsc w/ther aspir 1st,309.83
31646,Brnchsc w/ther aspir sbsq,129.57
31647,Bronchial valve init insert,185.96
31648,Bronchial valve remov init,177.91
31649,Bronchial valve remov addl,72.17
31651,Bronchial valve addl insert,78.21
31652,Bronch ebus samplng 1/2 node,1362.17
31653,Bronch ebus samplng 3/> node,1406.14
31654,Bronch ebus ivntj perph les,131.92
31660,Bronch thermoplsty 1 lobe,170.52
31661,Bronch thermoplsty 2/> lobes,179.59
31717,Bronchial brush biopsy,308.15
31720,Clearance of airways,45.65
31725,Clearance of airways,70.83
31730,Intro windpipe wire/tube,1180.9
31750,Tracheoplasty cervical,1253.41
