code,description,fee
00626,Anes thrc spine w/1 lng vent,307.46
0062U,Ai sle igg&igm alys 80 bmrk,380.72
00630,Anes px lumbar region nos,163.98
00632,Anes px lumbar sympathectomy,143.48
00635,Anes dx/ther lumbar pnxr,81.99
0063U,Neuro autism 32 amines alg,750.0
00640,Anes spine manipulation,61.49
0064U,Antb tp total&rpr ia qual,31.33
0065U,Syfls tst nontreponemal antb,18.09
00670,Anes xtnsv sp&spi cord px,266.47
0067U,Onc brst imhchem prfl 4 bmrk,1897.0
0068U,Candida species pnl amp prb,142.63
0069U,Onc clrct microrna mir-31-3p,380.0
00700,Anes px upr ant abd wall nos,81.99
00702,Anes upr ant abd wall lvr bx,81.99
0070U,Cyp2d6 gen com&slct rar vrnt,676.37
0071U,Cyp2d6 full gene sequence,600.0
0072U,Cyp2d6 gen cyp2d6-2d7 hybrid,450.91
00730,Anes px upper pst abdl wall,102.49
00731,Anes upr gi ndsc px nos,102.49
00732,Anes upr gi ndsc px ercp,122.99
0073U,Cyp2d6 gen cyp2d7-2d6 hybrid,450.91
0074U,Cyp2d6 nonduplicated gene,450.91
00750,Anes hrna rpr upr abd nos,81.99
00752,Anes hrna rpr lmbr&vnt&/dehs,122.99
00754,Anes hrna rpr omphalocele,81.99
00756,Anes hrna rpr diphrg hrna,143.48
0075U,Cyp2d6 5' gene dup/mlt,450.91
0076U,Cyp2d6 3' gene dup/mlt,450.91
00770,Anes px maj abd blood vessel,163.98
0077U,Ig paraprotein qual bld/ur,43.43
00790,Anes iper upr abd nos,143.48
00792,Anes iper upr abd prtl hptc,143.48
00794,Anes iper upr abd pncrtect,143.48
00796,Anes iper upr abd lvr trnspl,204.98
00797,Anes iper upr abd gstr px mo,184.48
00800,Anes px lwr ant abdl wal nos,122.99
00802,Anes px lwr abdl wal pannic,143.48
0080U,Onc lng 5 clin rsk factr alg,3520.0
00810,Anesthesia 00810,102.49
00820,Anes px lwr post abdl wall,122.99
0082U,Rx test def 90+ rx/sbsts ur,246.92
00830,Anes hernia rpr lwr abd nos,102.49
00832,Anes hernia repair vnt&incal,143.48
00834,Anes hernia repair<1 yr age,143.48
00836,Anes hrna rpr<37wk brth<50,143.48
0083U,Onc rspse chemo cntrst tomog,167.35
00840,Anes iper px lower abd nos,102.49
00842,Anes iper px amniocentesis,143.48
00844,Anes iper px abdmnprnl rescj,143.48
00846,Anes iper px rad hystrectomy,163.98
00848,Anes iper px pel exentration,163.98
0084U,Rbc dna gnotyp 10 bld groups,720.0
00851,Anes iper px tubal ligation,122.99
00860,Anes xtrprtl px lwr abd nos,122.99
00862,Anes xtrprtl lwr abd rnl px,143.48
00864,Anes xtrprt lwr abd tot cstc,163.98
00865,Anes xtrprt lwr abd prst8ect,143.48
00866,Anes xtrprt lw abd adrnlctmy,204.98
00868,Anes xtrprtl px rnl transpl,204.98
0086U,Nfct ds bact&fng org id 6+,200.0
00870,Anes xtrprtl cystolithotomy,102.49
00872,Anes lithotrp esw water bath,143.48
00873,Anes lithotrp esw wo wtr bth,102.49
0087U,Crd hrt trnspl mrna 1283 gen,3159.42
00880,Anes maj lwr abd vessel nos,307.46
00882,Anes maj lwr adb vsl ivc lig,204.98
0088U,Trnsplj kdn algrft rej 1494,3159.42
0089U,Onc mlnma prame & linc00518,760.0
00902,Anes anorectal px,102.49
00904,Anes radical perineal px,143.48
00906,Anes vulvectomy,81.99
00908,Anes perineal prostatectomy,122.99
0090U,Onc cutan mlnma mrna 23 gene,1950.0
00910,Anes transurethral px nos,61.49
00912,Anes trurl px rescj bldr tum,102.49
00914,Anes trurl px rescj prst8,102.49
00916,Anes trurl px rescj bleeding,102.49
00918,Anes trurl px urtrl cal rmvl,102.49
00920,Anes px male genitalia nos,61.49
00921,Anes px male genitalia vasec,61.49
00922,Anes px male gent sem ves,122.99
00924,Anes male gent undscnd tstis,81.99
00926,Anes male gent rad orch ing,81.99
00928,Anes male gent rad orch abd,122.99
0092U,Onc lng 3 prtn bmrk plsm alg,2488.0
00930,Anes px male gent orchiopexy,81.99
00932,Anes male gent compl amp pns,81.99
00934,Anes rad amp penis ingun lym,122.99
00936,Anes rad amp pns ingun&ilac,122.99
00938,Anes insj penile prosthesis,122.99
0093U,Rx mntr 65 com drugs urine,62.14
00940,Anes vaginal px nos,61.49
00942,Anes vag px clptmy vgnc clpr,102.49
00944,Anes vag px vag hysterectomy,163.98
